year,start_date,end_date,franchise_start_level,franchise_end_level,franchise_return,benchmark_start_level,benchmark_end_level,benchmark_return,excess_return
2008,2008-01-02,2008-12-31,98.0702708161021,56.45624422044095,-0.4243286599431778,99.12456467685519,63.20528096301716,-0.3623651093039796,-0.06196355063919823
2009,2009-01-02,2009-12-31,58.840642825610416,105.84000008117349,0.7987566926292413,65.11045426856134,79.86201836690127,0.22656214373031536,0.572194548898926
2010,2010-01-04,2010-12-31,105.12453352724829,144.10921727801897,0.370842870286467,81.2164528203576,91.88661101171206,0.13137926886508766,0.23946360142137935
2011,2011-01-03,2011-12-30,146.13296280436575,172.97873027840228,0.18370781621649646,92.8364679153912,93.62780781033896,0.00852401984604767,0.17518379637044879
2012,2012-01-03,2012-12-31,170.91240905200047,200.67008017606554,0.17411065287255556,95.1198790864823,108.59957166884409,0.14171267574999913,0.03239797712255643
2013,2013-01-02,2013-12-31,206.31976850094256,299.71734077126877,0.45268358407400755,111.38305371763093,143.68565933497567,0.29001364695239573,0.16266993712161182
2014,2014-01-02,2014-12-31,297.45356407145215,337.70963540642646,0.1353356496522069,142.30862064341622,163.0307685824078,0.1456141437201841,-0.010278494067977206
2015,2015-01-02,2015-12-31,335.67050935969837,304.395895182403,-0.09317057443310295,162.94351239210306,165.04292889626188,0.012884320911819014,-0.10605489534492196
2016,2016-01-04,2016-12-30,299.46014265263324,329.217513525964,0.0993700550922687,162.73566833835864,184.8446245972423,0.13585808498303464,-0.03648802989076594
2017,2017-01-03,2017-12-29,329.22042071842117,373.12218857233023,0.13335068267669148,186.25863462739406,224.96599786217547,0.20781513464980872,-0.07446445197311724
