seed_ticker,seed_name,eodhd_symbol,eodhd_match_name,eodhd_match_list,eodhd_match_type,eodhd_match_count,mapping_status,needs_manual_review,review_reason,holdings_snapshot_count,first_snapshot,last_snapshot,min_weight_pct,max_weight_pct,bloomberg_exception_count,provider,provider_price_file,provider_row_count,provider_first_date,provider_last_date,validation_status,validation_grade,validation_comparable_snapshots,validation_missing_snapshots,validation_max_abs_pct_difference,validation_avg_abs_pct_difference,corporate_action_status,corporate_action_treatment,corporate_action_notes
AAN,AARON'S INC,AAN_old.US,The Aaron's Company Inc.,delisted,Common Stock,2,manual_review_required,yes,"EODHD old-symbol mapping found for Aaron's Inc, but price history starts in 2009 and misses early 2007-2008 holdings snapshots.",21,2007-12-31,2017-12-31,1.31,2.04,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\AAN_OLD.US.json,2926,2009-04-20,2020-11-30,validated_against_holdings,pass_exact,18,3,0,0,acquired_private,partial_price_history_external_data_needed,Aaron's was acquired by IQVentures in 2024; do not treat old AAN as a current live ticker.
BAGL,EINSTEIN NOAH RESTAURANT GRO,BAGL.US,Einstein Noah Restaurant Group Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD identifies Einstein Noah Restaurant Group as BAGL.US but returns zero rows; external data or provider support needed. | EODHD price file exists but has zero rows. | No comparable holdings snapshots validated against provider prices.,14,2007-12-31,2014-06-30,1.49,1.89,7,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BAGL.US.json,0,,,no_comparable_snapshots,review,0,14,,,,external_price_history_needed,
BLIAQ,BB LIQUIDATING INC,BLIAQ.US,BB Liquidating Inc.,active,Common Stock,1,manual_review_required,yes,"EODHD BLIAQ history begins after the 2007-2017 holdings snapshots. Bloomberg holdings prices show the security collapsing toward zero, but daily reconstruction needs external data or explicit zero-price treatment. | No comparable holdings snapshots validated against provider prices.",21,2007-12-31,2017-12-31,0.36,2.42,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BLIAQ.US.json,1640,2019-11-11,2026-05-15,no_comparable_snapshots,review,0,21,,,,bankruptcy_or_liquidation_external_data_needed,
CKR,CKE RESTAURANTS INC,CKR.US,CKE RESTAURANTS INC,delisted,Common Stock,1,manual_review_required,yes,EODHD CKR.US does not match Bloomberg holdings prices after 2007; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,6,2007-12-31,2010-06-30,1.64,1.67,15,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CKR.US.json,2510,2007-12-31,2017-12-21,validated_against_holdings,review,6,0,0.8204309656823623,0.6390502017821542,,external_price_history_needed,
DTGF,DOLLAR THRIFTY AUTOMOTIVE GP,,,,,0,manual_review_required,yes,Dollar Thrifty old listing not found in EODHD with correct 2007-2012 history. DTG/DTG_old are reused or unrelated later tickers. | No EODHD symbol match. | No comparable holdings snapshots validated against provider prices.,10,2007-12-31,2012-06-30,1.64,1.69,10,eodhd,,0,,,missing_price_file,review,0,10,,,,external_price_history_needed,
FRS,FRISCH'S RESTAURANTS INC,FRS.US,Frisch's Restaurants Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD FRS.US does not match Bloomberg holdings prices; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,16,2007-12-31,2015-06-30,1.35,2.1,5,eodhd,data-sources\franchise-index\market-data\eodhd\prices\FRS.US.json,2221,2008-01-02,2020-07-08,validated_against_holdings,review,14,2,0.9329216654904728,0.9042339467640436,,external_price_history_needed,
MDS,MIDAS INC,MDS.US,Midas Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD MDS.US does not consistently match Bloomberg holdings prices; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,9,2007-12-31,2011-12-31,1.64,2.39,11,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MDS.US.json,2460,2007-12-31,2017-10-05,validated_against_holdings,review,9,0,0.9247232824427482,0.5557924511559704,,external_price_history_needed,
WTW,WEIGHT WATCHERS INTL INC,WTW.US,Willis Towers Watson PLC,active,Common Stock,1,manual_review_required,yes,Old Weight Watchers WTW conflicts with current Willis Towers Watson WTW in EODHD. WW/WGHTQ symbols do not provide the required 2007-2017 history. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,21,2007-12-31,2017-12-31,1.17,1.86,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\WTW.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,review,21,0,9.688736027515047,1.8814903042872426,ticker_changed,external_price_history_needed,Weight Watchers changed ticker from WTW to WW in 2019.
